,Mission ID,Mission Date,Theater of Operations,Country,Aircraft Series,Takeoff Base,Takeoff Location,Takeoff Latitude,Takeoff Longitude,Target Country,Target City,Target Latitude,Target Longitude,Altitude,High Explosives,High Explosives Type,High Explosives Weight LBS,High Explosives Weight Tons,Incendiary Devices,Incendiary Devices Type,Incendiary Devices Weight LBS,Incendiary Devices Weight Tons,Fragmentation Devices,Fragmentation Devices Type,Fragmentation Devices Weight LBS,Fragmentation Devices Weight Tons,Total Weight LBS,Total Weight Tons
116339,116800,3/22/1942,CBI,GREAT BRITAIN,BLEN,MAGWE AIRFIELD,BURMA,20.1656,94.9414,BURMA,MINGALADON AIRFIELD,16.907304999999997,96.133222,,,250 LB GP (GP-M57),9000,4.5,,,,,,,,,9000.0,4.5
116347,116808,5/29/1944,MTO,,B26,,,,,ITALY,SANTO STEFANO CAMAS,38.02,14.35,,,,,3.0,,,,,,,,,,3.0
116360,116821,5/29/1944,CBI,USA,B25,,,,,BURMA,TATPYIN,23.96666667,95.85,3.0,,250 LB GP (GP-M57),,6.0,,,,,,,,,,6.0
116371,116832,5/29/1944,PTO,USA,P39,,,,,SOLOMON ISLANDS,HOVANEK VILLAGE,-5.4,154.65,20.0,,250 LB GP (GP-M57),,1.0,,,,,,,,,,1.0
116380,116841,5/29/1944,PTO,USA,P39,,,,,SOLOMON ISLANDS,WARIKI,-5.416666667,154.75,15.0,,250 LB GP (GP-M57),,1.0,,,,,,,,,,1.0
116382,116843,5/29/1944,PTO,USA,P39,,,,,SOLOMON ISLANDS,TEOP ISLAND,-5.566666667000001,155.1166667,12.0,,250 LB GP (GP-M57),,1.0,,,,,,,,,,1.0
116399,116860,5/30/1944,PTO,USA,B24,,,,,NEW GUINEA,MANAM ISLAND,-4.083333333,145.08333330000002,,24.0,1000 LB GP (GP-M44/M65),,12.0,,,,,,,,,,12.0
116430,116891,5/30/1944,CBI,USA,P40,,,,,BURMA,KYAINGYI,18.31666667,95.1,15.0,4.0,500 LB GP (GP-M43/M64),,1.0,,,,,,,,,,1.0
116431,116892,5/30/1944,CBI,USA,P40,,,,,BURMA,LOISUN,25.26666667,96.93333333,15.0,4.0,500 LB GP (GP-M43/M64),,1.0,,,,,,,,,,1.0
116432,116893,5/30/1944,PTO,USA,P39,,,,,SOLOMON ISLANDS,CHABAI,-5.483333332999999,154.75,10.0,4.0,500 LB GP (GP-M43/M64),,1.0,,,,,,,,,,1.0
