,Mission ID,Mission Date,Theater of Operations,Country,Aircraft Series,Takeoff Base,Takeoff Location,Takeoff Latitude,Takeoff Longitude,Target Country,Target City,Target Latitude,Target Longitude,Altitude,High Explosives,High Explosives Type,High Explosives Weight LBS,High Explosives Weight Tons,Incendiary Devices,Incendiary Devices Type,Incendiary Devices Weight LBS,Incendiary Devices Weight Tons,Fragmentation Devices,Fragmentation Devices Type,Fragmentation Devices Weight LBS,Fragmentation Devices Weight Tons,Total Weight LBS,Total Weight Tons
15943,15944,10/23/1943,MTO,USA,A36,CAPACCIO,ITALY,40.421181,15.00565,ITALY,PATERNO,37.57,14.88,,8,500 LB GP (GP-M43/M64),,2,,,,,,,,,,2
15956,15957,10/23/1943,EAST AFRICA,GREAT BRITAIN,WELL,OUDNA,TUNISIA,36.649608,10.121936,,GUIDONIAA A/D,41.98,12.73,35,,,,,,,,0,,,,0,,107.5
16235,16236,10/24/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982761,ITALY,VENAFRO,41.48,14.03,,30,500 LB GP (GP-M43/M64),,7.5,,,,,,,,,,7.5
16244,16245,10/24/1943,EAST AFRICA,GREAT BRITAIN,WELL,OUDNA,TUNISIA,36.649608,10.121936,,PISTOIA M/Y,43.87,10.93,90,,,,,,,,0,,,,0,,64.5
16560,16561,10/26/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982761,ITALY,VAIANO,41.33,14.13,,48,500 LB GP (GP-M43/M64),,12,,,,,,,,,,12
16577,16578,10/26/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982761,ITALY,PIETRAVAIRANO,41.33,14.17,,0,500 LB GP (GP-M43/M64),,0,,,,,,,,,,0
16598,16599,10/27/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982761,ITALY,GAETA,41.2,13.57,,48,500 LB GP (GP-M43/M64),,12,,,,,,,,,,12
16811,16812,10/28/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982761,ITALY,PRATELLA,41.57,14.65,,20,500 LB GP (GP-M43/M64),,5,,,,,,,,,,5
16819,16820,10/29/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982761,ITALY,RACCAMONFINA,41.28,13.98,,66,500 LB GP (GP-M43/M64),,16.5,,,,,,,,,,16.5
16825,16826,10/29/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982761,ITALY,MINTURNO,41.25,13.75,,42,500 LB GP (GP-M43/M64),,10.5,,,,,,,,,,10.5
16839,16840,10/29/1943,EAST AFRICA,GREAT BRITAIN,WELL,OUDNA,TUNISIA,36.649608,10.121936,,GROSSETTO M/Y,42.77,11.13,50,,,,,,,,0,,,,0,,58
16864,16865,10/30/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982761,ITALY,MIGNANO,41.38,13.97,,48,500 LB GP (GP-M43/M64),,12,,,,,,,,,,12
16868,16869,10/30/1943,MTO,USA,A36,CAPACCIO,ITALY,40.421181,15.00565,ITALY,GARIGLIANO,39.87,18.37,,20,500 LB GP (GP-M43/M64),,5,,,,,,,,,,5
16877,16878,10/30/1943,EAST AFRICA,GREAT BRITAIN,WELL,OUDNA,TUNISIA,36.649608,10.121936,,PERUGIA A/D,43.12,12.38,20,,,,,,,,0,,,,0,,34.5
17081,17082,3/3/1945,,GREAT BRITAIN,LIB,"""TORTORELLA, FOGGIA""",ITALY,42.48,13.55,,POLA NAVAL DOCKYARDS,44.87,13.85,,,,,,,,,0,,,,0,,87.375
17118,17119,11/1/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982761,ITALY,PONTECORVO,41.45,13.67,,24,500 LB GP (GP-M43/M64),,6,,,,,,,,,,6
17120,17121,11/1/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982761,ITALY,45 00 N 012 00 E,45,12,,12,500 LB GP (GP-M43/M64),,3,,,,,,,,,,3
17124,17125,11/1/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982761,ITALY,41 20 N 013 00 E,41.33,13,,0,500 LB GP (GP-M43/M64),,0,,,,,,,,,,0
17125,17126,11/1/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982761,ITALY,41 20 N 013 20 E,41.33,13.33,,0,500 LB GP (GP-M43/M64),,0,,,,,,,,,,0
17127,17128,11/1/1943,EAST AFRICA,GREAT BRITAIN,LIB,OUDNA,TUNISIA,36.649608,10.121936,,VIA REGGIO,44.87,10.27,,,,,,,,,0,,,,0,,25
17160,17161,11/2/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982761,ITALY,SORA,41.7,13.62,,24,500 LB GP (GP-M43/M64),,6,,,,,,,,,,6
17165,17166,11/2/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982761,ITALY,SAN BIAGIO,43.33,12.3,,12,500 LB GP (GP-M43/M64),,3,,,,,,,,,,3
